Year,Trawl_Central_Izu,Trawl_Central_Enshu,Trawl_Central_Kumano,Trawl_Southern_Kishu,Trawl_Southern_Kiistraight,Trawl_Southern_Tosa,Trawl_Southern_Bungo,Pair_Southern_Kiistraight,Pair_Southern_Tosa,Pair_Southern_Bungo,Pair_Southern_Nhyuga,Pair_Southern_Shyuga,Pair_Southern_Satsunan,SmallTrawl_Central_Aichi
1980,,318,294,81,25,153,,20,50,42,6,3,3,1
1981,8,296,369,95,141,293,0,8,42,62,8,1,,
1982,2,289,347,79,110,387,0,10,29,61,29,1,0,
1983,3,365,365,37,246,292,1,6,38,34,53,4,5,
1984,2,480,431,13,114,373,1,0,16,36,26,1,0,0
1985,9,297,470,8,82,228,1,2,8,26,29,1,2,15
1986,22,362,448,6,180,285,0,2,33,23,35,8,1,88
1987,13,282,483,9,300,417,,1,36,9,21,1,0,139
1988,20,266,513,8,170,314,,7,46,23,47,1,0,215
1989,60,205,595,11,92,351,0,2,112,22,20,1,1,168
1990,19,219,458,8,120,362,,20,127,50,30,4,10,241
1991,14,195,522,2,109,470,,11,125,52,17,13,10,256
1992,26,119,475,,133,643,,23,112,47,40,6,10,257
1993,20,119,396,,84,412,0,14,66,46,28,8,7,247
1994,22,134,466,,167,528,,16,32,34,27,6,1,209
1995,25,105,276,,73,560,,6,49,62,46,10,4,319
1996,13,41,279,,108,831,,3,73,76,26,7,3,476
1997,3,42,326,,237,587,,0,53,45,35,27,6,616
1998,7,44,275,,58,508,,,26,25,37,13,13,559
1999,,22,263,,57,438,,16,59,36,54,19,2,350
2000,0,54,265,,73,230,,93,11,18,27,19,5,364
2001,3,65,224,,37,256,,100,117,12,18,14,4,270
2002,2,88,181,,39,164,,272,88,22,24,13,1,254
2003,3,64,227,,10,186,,100,3,31,40,15,2,153
2004,6,79,189,,55,144,,202,2,8,8,3,5,239
2005,5,128,289,,24,179,,16,7,9,7,1,,224
2006,5,87,329,,21,227,,,2,18,5,10,0,239
2007,0,123,295,,33,295,,1,5,9,2,0,,187
2008,2,100,377,3,48,278,,13,4,2,2,,,259
2009,1,96,343,1,113,221,,7,2,7,4,,1,221
2010,0,76,271,,30,246,,6,33,3,1,0,,235
2011,3,70,119,0,20,158,,8,72,4,4,1,0,172
2012,4,90,300,,31,209,,4,26,2,1,0,0,201
2013,4,60,204,1,1,121,,3,5,11,4,0,,185
2014,0,54,152,,12,168,,5,3,3,0,,,195
2015,2,65,201,,12,190,,2,21,3,,,,221
2016,6,60,181,,11,255,,1,17,6,2,0,,199
2017,2,55,151,,2,192,,2,0,2,0,,,211
2018,1,58,151,0,2,160,,9,1,2,0,,,172
2019,8,75,133,1,,139,,5,2,2,,,,151
2020,8,120,44,8,,112,,1,0,5,0,0,,138
